Serial,date,time of year,Year,Hour,Day off,Weekday,Workingday,Weather,Temp,Feel_Temp, Humidity,Fog Density,Foreigners,Local,Total Visitors
1462,19-04-2011,2,0,13,0,2,1,2,0.54,0.5152,0.939362011,0.68,26,103,129
1463,19-04-2011,2,0,14,0,2,1,2,0.54,0.5152,0.93711068,0.64,19,88,107
1464,19-04-2011,2,0,15,0,2,1,2,0.54,0.5152,0.910006144,0.65,44,83,127
1465,19-04-2011,2,0,16,0,2,1,1,0.56,0.5303,0.929806647,0.52,30,162,192
1466,19-04-2011,2,0,17,0,2,1,1,0.56,0.5303,1.00835332,0.6,39,372,411
1467,19-04-2011,2,0,18,0,2,1,2,0.54,0.5152,1.023177647,0.64,44,377,421
1468,19-04-2011,2,0,19,0,2,1,2,0.5,0.4848,1.016674679,0.72,28,248,276
1469,19-04-2011,2,0,21,0,2,1,2,0.5,0.4848,1.003268517,0.72,8,114,122
1470,19-04-2011,2,0,23,0,2,1,1,0.46,0.4545,1.01658043,0.88,11,41,52
1471,20-04-2011,2,0,0,0,3,1,1,0.44,0.4394,1.034586186,0.88,4,29,33
1472,20-04-2011,2,0,2,0,3,1,1,0.42,0.4242,1.014165942,0.94,0,2,2
1473,20-04-2011,2,0,3,0,3,1,1,0.42,0.4242,1.003056027,0.94,0,2,2
1474,20-04-2011,2,0,4,0,3,1,1,0.4,0.4091,0.969033228,1,5,4,9
1475,20-04-2011,2,0,5,0,3,1,1,0.4,0.4091,0.948381117,0.94,1,14,15
1476,20-04-2011,2,0,8,0,3,1,1,0.62,0.6061,0.954736898,0.69,22,374,396
1477,20-04-2011,2,0,10,0,3,1,1,0.62,0.6061,0.944304013,0.69,45,86,131
1478,20-04-2011,2,0,11,0,3,1,1,0.62,0.6061,0.961980868,0.69,31,87,118
1479,20-04-2011,2,0,13,0,3,1,1,0.7,0.6515,0.979517697,0.48,42,135,177
1480,20-04-2011,2,0,14,0,3,1,1,0.74,0.6515,0.987714795,0.4,33,115,148
1481,20-04-2011,2,0,15,0,3,1,2,0.76,0.6667,0.912799428,0.35,32,113,145
1482,20-04-2011,2,0,16,0,3,1,2,0.76,0.6667,0.843450039,0.35,54,201,255
1483,20-04-2011,2,0,17,0,3,1,2,0.74,0.6515,0.89264255,0.37,34,398,432
1484,20-04-2011,2,0,18,0,3,1,1,0.74,0.6515,0.921197946,0.3,56,385,441
1485,20-04-2011,2,0,19,0,3,1,1,0.7,0.6364,0.925729908,0.32,74,309,383
1486,20-04-2011,2,0,20,0,3,1,1,0.68,0.6212,0.928201632,0.32,31,194,225
1487,20-04-2011,2,0,21,0,3,1,1,0.66,0.6212,0.924779764,0.36,38,134,172
1488,20-04-2011,2,0,23,0,3,1,1,0.6,0.6212,0.930579308,0.4,14,79,93
1489,21-04-2011,2,0,0,0,4,1,1,0.56,0.5303,0.954452055,0.43,11,33,44
1490,21-04-2011,2,0,1,0,4,1,1,0.52,0.5,0.984529841,0.45,6,20,26
1491,21-04-2011,2,0,4,0,4,1,2,0.44,0.4394,0.997027264,0.54,2,4,6
1492,21-04-2011,2,0,5,0,4,1,2,0.42,0.4242,1.151578815,0.54,0,14,14
1493,21-04-2011,2,0,6,0,4,1,2,0.4,0.4091,1.207206779,0.58,2,73,75
1494,21-04-2011,2,0,8,0,4,1,2,0.4,0.4091,1.149375174,0.5,19,346,365
1495,21-04-2011,2,0,11,0,4,1,1,0.44,0.4394,1.125048593,0.41,34,99,133
1496,21-04-2011,2,0,13,0,4,1,1,0.48,0.4697,1.14840836,0.33,55,122,177
1497,21-04-2011,2,0,14,0,4,1,1,0.5,0.4848,1.128675818,0.34,68,160,228
1498,21-04-2011,2,0,15,0,4,1,1,0.52,0.5,1.107282835,0.29,69,166,235
1499,21-04-2011,2,0,16,0,4,1,1,0.52,0.5,1.096050584,0.27,66,228,294
1500,21-04-2011,2,0,17,0,4,1,1,0.5,0.4848,1.088408138,0.29,79,402,481
1501,21-04-2011,2,0,18,0,4,1,1,0.5,0.4848,1.080390974,0.25,71,381,452
1502,21-04-2011,2,0,19,0,4,1,1,0.46,0.4545,1.087452942,0.28,52,272,324
1503,21-04-2011,2,0,20,0,4,1,1,0.44,0.4394,1.090934843,0.3,28,176,204
1504,22-04-2011,2,0,2,0,5,1,1,0.36,0.3333,1.128542952,0.53,2,7,9
1505,22-04-2011,2,0,3,0,5,1,1,0.36,0.3333,1.179598184,0.53,0,2,2
1506,22-04-2011,2,0,4,0,5,1,1,0.34,0.3182,1.087237458,0.53,1,2,3
1507,22-04-2011,2,0,5,0,5,1,1,0.34,0.3182,1.126486757,0.53,0,16,16
1508,22-04-2011,2,0,7,0,5,1,2,0.34,0.3182,1.320480512,0.53,5,175,180
1509,22-04-2011,2,0,8,0,5,1,2,0.34,0.3182,1.324988972,0.53,15,331,346
1510,22-04-2011,2,0,12,0,5,1,3,0.34,0.3333,1.241318133,0.76,19,61,80
1511,22-04-2011,2,0,15,0,5,1,3,0.34,0.3333,1.195704532,0.87,13,62,75
1512,22-04-2011,2,0,17,0,5,1,3,0.32,0.303,1.129972112,0.93,6,63,69
1513,22-04-2011,2,0,20,0,5,1,3,0.32,0.303,0.955924838,0.87,8,39,47
1514,22-04-2011,2,0,21,0,5,1,3,0.3,0.303,0.869802745,0.93,5,23,28
1515,22-04-2011,2,0,22,0,5,1,3,0.3,0.303,0.89198324,1,3,21,24
1516,22-04-2011,2,0,23,0,5,1,3,0.32,0.3333,0.863582796,0.93,0,17,17
1517,23-04-2011,2,0,1,0,6,0,2,0.32,0.3182,0.945952001,1,5,11,16
1518,23-04-2011,2,0,2,0,6,0,3,0.32,0.3333,0.996012169,1,3,14,17
1519,23-04-2011,2,0,3,0,6,0,3,0.32,0.3333,0.915620773,1,0,4,4
1520,23-04-2011,2,0,4,0,6,0,3,0.34,0.3636,0.938036865,1,2,3,5
1521,23-04-2011,2,0,5,0,6,0,3,0.34,0.3636,0.962610789,1,1,6,7
1522,23-04-2011,2,0,8,0,6,0,2,0.36,0.3333,0.972289092,1,15,32,47
1523,23-04-2011,2,0,9,0,6,0,2,0.38,0.3939,0.967172925,0.94,13,55,68
1524,23-04-2011,2,0,11,0,6,0,2,0.46,0.4545,0.979946904,0.88,68,164,232
1525,23-04-2011,2,0,12,0,6,0,1,0.52,0.5,0.990971035,0.83,94,197,291
1526,23-04-2011,2,0,14,0,6,0,1,0.58,0.5455,1.015075341,0.78,182,209,391
1527,23-04-2011,2,0,15,0,6,0,1,0.6,0.5909,1.0710943,0.73,171,226,397
1528,23-04-2011,2,0,16,0,6,0,1,0.6,0.5909,1.041994229,0.73,180,246,426
1529,23-04-2011,2,0,17,0,6,0,1,0.6,0.5909,1.022040284,0.73,168,215,383
1530,23-04-2011,2,0,18,0,6,0,1,0.58,0.5455,0.994414551,0.78,149,227,376
1531,23-04-2011,2,0,20,0,6,0,2,0.54,0.5152,1.023602593,0.88,45,138,183
1532,23-04-2011,2,0,21,0,6,0,2,0.56,0.5303,1.026828553,0.83,32,103,135
1533,23-04-2011,2,0,22,0,6,0,2,0.58,0.5455,1.011366149,0.78,55,114,169
1534,24-04-2011,2,0,0,0,0,0,1,0.52,0.5,1.01890712,0.83,30,66,96
1535,24-04-2011,2,0,2,0,0,0,1,0.5,0.4848,1.010436281,0.88,27,45,72
1536,24-04-2011,2,0,4,0,0,0,1,0.5,0.4848,1.011428588,0.94,0,5,5
1537,24-04-2011,2,0,7,0,0,0,2,0.5,0.4848,1.045724659,1,16,11,27
1538,24-04-2011,2,0,8,0,0,0,1,0.52,0.5,1.091978232,0.94,38,42,80
1539,24-04-2011,2,0,9,0,0,0,1,0.56,0.5303,1.148594612,0.88,73,104,177
1540,24-04-2011,2,0,12,0,0,0,1,0.68,0.6364,1.133643983,0.65,168,220,388
1541,24-04-2011,2,0,13,0,0,0,1,0.7,0.6515,1.109742244,0.58,205,236,441
1542,24-04-2011,2,0,14,0,0,0,1,0.7,0.6515,1.117506702,0.54,197,223,420
1543,24-04-2011,2,0,15,0,0,0,1,0.66,0.6212,1.129827958,0.61,167,202,369
1544,24-04-2011,2,0,16,0,0,0,1,0.74,0.6667,1.091158083,0.48,162,197,359
1545,24-04-2011,2,0,17,0,0,0,1,0.66,0.6212,1.048352409,0.65,142,189,331
1546,24-04-2011,2,0,18,0,0,0,1,0.64,0.6061,1.026238428,0.69,96,174,270
1547,24-04-2011,2,0,20,0,0,0,3,0.6,0.5606,1.049752652,0.83,34,71,105
1548,24-04-2011,2,0,21,0,0,0,3,0.54,0.5152,1.048067469,0.94,8,53,61
1549,24-04-2011,2,0,22,0,0,0,3,0.54,0.5152,1.016942301,1,5,40,45
1550,25-04-2011,2,0,0,0,1,1,3,0.52,0.5,1.039692742,1,2,10,12
1551,25-04-2011,2,0,1,0,1,1,1,0.54,0.5152,1.052433316,1,2,8,10
1552,25-04-2011,2,0,3,0,1,1,2,0.5,0.4848,0.931283719,1,2,8,10
1553,25-04-2011,2,0,6,0,1,1,2,0.5,0.4848,0.886981391,1,7,59,66
1554,25-04-2011,2,0,7,0,1,1,2,0.52,0.5,0.821759132,1,13,183,196
1555,25-04-2011,2,0,8,0,1,1,1,0.56,0.5303,0.777105128,0.88,27,326,353
1556,25-04-2011,2,0,13,0,1,1,1,0.7,0.6515,0.759864591,0.65,57,146,203
1557,25-04-2011,2,0,15,0,1,1,1,0.74,0.6667,0.761847605,0.51,50,125,175
1558,25-04-2011,2,0,17,0,1,1,1,0.7,0.6515,0.769698822,0.54,80,441,521
1559,25-04-2011,2,0,18,0,1,1,1,0.68,0.6364,0.818358148,0.57,74,425,499
1560,25-04-2011,2,0,19,0,1,1,1,0.66,0.6212,0.811562172,0.57,62,320,382
1561,25-04-2011,2,0,21,0,1,1,1,0.62,0.6061,0.767068692,0.69,41,149,190
1562,26-04-2011,2,0,1,0,2,1,1,0.62,0.5909,0.763605704,0.73,16,5,21
1563,26-04-2011,2,0,4,0,2,1,1,0.56,0.5303,0.757544892,0.83,2,4,6
1564,26-04-2011,2,0,5,0,2,1,1,0.54,0.5152,0.748330149,0.88,0,16,16
1565,26-04-2011,2,0,7,0,2,1,1,0.58,0.5455,0.836456259,0.83,16,254,270
1566,26-04-2011,2,0,8,0,2,1,1,0.58,0.5455,0.835208483,0.83,32,417,449
1567,26-04-2011,2,0,11,0,2,1,1,0.68,0.6364,0.838149346,0.65,40,132,172
1568,26-04-2011,2,0,17,0,2,1,1,0.68,0.6364,0.827099134,0.61,66,455,521
1569,26-04-2011,2,0,18,0,2,1,1,0.68,0.6364,0.855317517,0.65,65,463,528
1570,26-04-2011,2,0,19,0,2,1,1,0.64,0.6061,0.848895204,0.73,42,286,328
1571,26-04-2011,2,0,22,0,2,1,2,0.6,0.5606,0.848855544,0.83,32,116,148
1572,26-04-2011,2,0,23,0,2,1,2,0.6,0.5606,0.832883735,0.83,7,71,78
1573,27-04-2011,2,0,2,0,3,1,1,0.58,0.5455,0.855230933,0.88,0,5,5
1574,27-04-2011,2,0,7,0,3,1,2,0.58,0.5455,0.856423519,0.88,17,229,246
1575,27-04-2011,2,0,8,0,3,1,2,0.58,0.5455,0.864672174,0.88,31,413,444
1576,27-04-2011,2,0,12,0,3,1,1,0.66,0.6061,0.88069195,0.78,38,135,173
1577,27-04-2011,2,0,13,0,3,1,1,0.64,0.5909,0.842490189,0.78,31,119,150
1578,27-04-2011,2,0,15,0,3,1,1,0.7,0.6515,0.756839996,0.65,18,120,138
1579,27-04-2011,2,0,16,0,3,1,1,0.7,0.6515,0.76109585,0.7,29,189,218
1580,27-04-2011,2,0,17,0,3,1,3,0.66,0.6061,0.728754745,0.83,63,458,521
1581,27-04-2011,2,0,18,0,3,1,3,0.66,0.6061,0.702349607,0.83,46,366,412
1582,27-04-2011,2,0,20,0,3,1,1,0.64,0.5758,0.730268833,0.83,30,188,218
1583,27-04-2011,2,0,21,0,3,1,1,0.62,0.5606,0.737927292,0.88,19,126,145
1584,27-04-2011,2,0,23,0,3,1,2,0.62,0.5606,0.753248572,0.88,25,53,78
1585,28-04-2011,2,0,1,0,4,1,2,0.62,0.5758,0.785800367,0.83,8,12,20
1586,28-04-2011,2,0,3,0,4,1,2,0.64,0.5909,0.797626893,0.78,2,1,3
1587,28-04-2011,2,0,4,0,4,1,2,0.62,0.5758,0.819138075,0.83,4,5,9
1588,28-04-2011,2,0,5,0,4,1,2,0.62,0.5758,0.809787652,0.83,0,13,13
1589,28-04-2011,2,0,7,0,4,1,2,0.64,0.5909,0.801653033,0.78,14,201,215
1590,28-04-2011,2,0,8,0,4,1,2,0.66,0.6061,0.832530458,0.78,31,367,398
1591,28-04-2011,2,0,9,0,4,1,3,0.62,0.5606,0.844103984,0.88,18,165,183
1592,28-04-2011,2,0,10,0,4,1,2,0.62,0.5606,0.834128629,0.88,9,45,54
1593,28-04-2011,2,0,11,0,4,1,2,0.62,0.5758,0.819264636,0.83,10,74,84
1594,28-04-2011,2,0,13,0,4,1,2,0.62,0.5758,0.800933649,0.83,18,103,121
1595,28-04-2011,2,0,16,0,4,1,1,0.62,0.5909,0.782975759,0.78,42,228,270
1596,28-04-2011,2,0,17,0,4,1,1,0.64,0.6212,0.770567067,0.47,49,406,455
1597,28-04-2011,2,0,18,0,4,1,1,0.64,0.6212,0.80252537,0.47,44,486,530
1598,28-04-2011,2,0,19,0,4,1,1,0.62,0.6212,0.805852409,0.43,57,347,404
1599,28-04-2011,2,0,20,0,4,1,1,0.58,0.5455,0.828566274,0.43,49,220,269
1600,28-04-2011,2,0,23,0,4,1,1,0.54,0.5152,0.78121195,0.39,29,81,110
1601,29-04-2011,2,0,1,0,5,1,1,0.5,0.4848,0.677026586,0.45,10,21,31
1602,29-04-2011,2,0,2,0,5,1,1,0.46,0.4545,0.716397479,0.63,2,8,10
1603,29-04-2011,2,0,3,0,5,1,1,0.46,0.4545,0.801260178,0.59,1,4,5
1604,29-04-2011,2,0,4,0,5,1,1,0.46,0.4545,0.834783035,0.51,0,6,6
1605,29-04-2011,2,0,5,0,5,1,1,0.46,0.4545,0.918069477,0.47,0,25,25
1606,29-04-2011,2,0,6,0,5,1,1,0.5,0.4848,0.996983143,0.45,4,67,71
1607,29-04-2011,2,0,8,0,5,1,1,0.54,0.5152,1.098658986,0.39,35,386,421
1608,29-04-2011,2,0,9,0,5,1,1,0.54,0.5152,1.134737157,0.39,45,185,230
1609,29-04-2011,2,0,10,0,5,1,1,0.56,0.5303,1.160210468,0.4,57,99,156
1610,29-04-2011,2,0,12,0,5,1,1,0.56,0.5303,1.199512963,0.37,63,160,223
1611,29-04-2011,2,0,13,0,5,1,1,0.56,0.5303,1.138082456,0.37,74,234,308
1612,29-04-2011,2,0,14,0,5,1,1,0.6,0.6212,1.019741828,0.35,58,190,248
1613,29-04-2011,2,0,15,0,5,1,2,0.56,0.5303,0.877489784,0.4,77,175,252
1614,29-04-2011,2,0,17,0,5,1,2,0.52,0.5,0.668611238,0.45,75,433,508
1615,29-04-2011,2,0,18,0,5,1,1,0.52,0.5,0.59742996,0.48,55,384,439
1616,29-04-2011,2,0,20,0,5,1,1,0.48,0.4697,0.567337416,0.48,34,160,194
1617,29-04-2011,2,0,21,0,5,1,1,0.46,0.4545,0.579907997,0.51,50,145,195
1618,30-04-2011,2,0,0,0,6,0,2,0.44,0.4394,0.594502632,0.54,33,73,106
1619,30-04-2011,2,0,2,0,6,0,2,0.44,0.4394,0.625731077,0.54,12,53,65
1620,30-04-2011,2,0,3,0,6,0,2,0.42,0.4242,0.653508072,0.54,4,13,17
1621,30-04-2011,2,0,4,0,6,0,2,0.42,0.4242,0.687850436,0.54,2,5,7
1622,30-04-2011,2,0,6,0,6,0,1,0.4,0.4091,0.696539219,0.58,10,11,21
1623,30-04-2011,2,0,7,0,6,0,1,0.4,0.4091,0.661087081,0.54,21,27,48
1624,30-04-2011,2,0,8,0,6,0,1,0.4,0.4091,0.65204686,0.54,21,70,91
1625,30-04-2011,2,0,10,0,6,0,1,0.48,0.4697,0.639380387,0.44,94,185,279
1626,30-04-2011,2,0,12,0,6,0,1,0.52,0.5,0.645115699,0.42,178,238,416
1627,30-04-2011,2,0,13,0,6,0,1,0.54,0.5152,0.651646529,0.39,185,270,455
1628,30-04-2011,2,0,14,0,6,0,1,0.54,0.5152,0.639157439,0.39,184,268,452
1629,30-04-2011,2,0,15,0,6,0,1,0.56,0.5303,0.634409573,0.37,217,282,499
1630,30-04-2011,2,0,16,0,6,0,1,0.58,0.5455,0.607983413,0.37,191,273,464
1631,30-04-2011,2,0,17,0,6,0,1,0.56,0.5303,0.630416271,0.43,162,245,407
1632,30-04-2011,2,0,18,0,6,0,1,0.54,0.5152,0.59094145,0.43,134,237,371
1633,30-04-2011,2,0,19,0,6,0,1,0.54,0.5152,0.59334474,0.43,150,237,387
1634,30-04-2011,2,0,20,0,6,0,1,0.44,0.4394,0.593656732,0.62,65,159,224
1635,30-04-2011,2,0,23,0,6,0,1,0.44,0.4394,0.626335584,0.67,34,91,125
1636,01-05-2011,2,0,1,0,0,0,1,0.42,0.4242,0.648089414,0.69,9,50,59
1637,01-05-2011,2,0,3,0,0,0,1,0.4,0.4091,0.701400344,0.82,8,15,23
1638,01-05-2011,2,0,4,0,0,0,1,0.4,0.4091,0.730364496,0.76,6,11,17
1639,01-05-2011,2,0,5,0,0,0,1,0.4,0.4091,0.726213587,0.82,0,10,10
1640,01-05-2011,2,0,6,0,0,0,2,0.4,0.4091,0.781268481,0.82,4,9,13
1641,01-05-2011,2,0,8,0,0,0,2,0.44,0.4394,0.795376774,0.77,16,43,59
1642,01-05-2011,2,0,11,0,0,0,1,0.46,0.4545,0.81783012,0.82,109,141,250
1643,01-05-2011,2,0,12,0,0,0,2,0.48,0.4697,0.8345133,0.77,109,172,281
1644,01-05-2011,2,0,13,0,0,0,2,0.5,0.4848,0.859291134,0.63,123,209,332
1645,01-05-2011,2,0,15,0,0,0,2,0.5,0.4848,0.878354309,0.72,113,153,266
1646,01-05-2011,2,0,18,0,0,0,2,0.46,0.4545,0.900975337,0.82,33,126,159
1647,01-05-2011,2,0,20,0,0,0,2,0.46,0.4545,0.854744867,0.82,35,86,121
1648,01-05-2011,2,0,22,0,0,0,2,0.46,0.4545,0.894612414,0.82,32,68,100
1649,02-05-2011,2,0,0,0,1,1,1,0.46,0.4545,0.856488557,0.72,68,109,177
1650,02-05-2011,2,0,1,0,1,1,1,0.46,0.4545,0.821912497,0.72,41,73,114
1651,02-05-2011,2,0,2,0,1,1,2,0.44,0.4394,0.833757012,0.77,16,19,35
1652,02-05-2011,2,0,3,0,1,1,1,0.44,0.4394,0.83938396,0.77,9,7,16
1653,02-05-2011,2,0,4,0,1,1,1,0.44,0.4394,0.871888451,0.77,9,8,17
1654,02-05-2011,2,0,6,0,1,1,1,0.44,0.4394,0.896433887,0.88,3,59,62
1655,02-05-2011,2,0,7,0,1,1,2,0.46,0.4545,0.898064217,0.82,16,193,209
1656,02-05-2011,2,0,8,0,1,1,2,0.48,0.4697,0.899550422,0.77,21,350,371
1657,02-05-2011,2,0,9,0,1,1,2,0.5,0.4848,0.889894569,0.77,41,131,172
1658,02-05-2011,2,0,11,0,1,1,1,0.58,0.5455,0.882076747,0.73,34,96,130
1659,02-05-2011,2,0,13,0,1,1,2,0.62,0.6061,0.863280025,0.69,51,119,170
1660,02-05-2011,2,0,14,0,1,1,1,0.64,0.6061,0.880639748,0.69,48,133,181
1661,02-05-2011,2,0,15,0,1,1,1,0.66,0.6212,0.901902291,0.61,45,110,155
1662,02-05-2011,2,0,17,0,1,1,1,0.66,0.6212,0.901630056,0.65,65,472,537
1663,02-05-2011,2,0,18,0,1,1,2,0.64,0.6061,0.953546659,0.65,68,450,518
1664,02-05-2011,2,0,19,0,1,1,2,0.62,0.6061,0.95909197,0.69,46,268,314
1665,02-05-2011,2,0,22,0,1,1,2,0.6,0.5909,0.959865869,0.73,28,97,125
1666,02-05-2011,2,0,23,0,1,1,2,0.56,0.5303,0.945334797,0.83,16,48,64
1667,03-05-2011,2,0,0,0,2,1,2,0.56,0.5303,0.946838828,0.83,0,16,16
1668,03-05-2011,2,0,1,0,2,1,2,0.56,0.5303,0.945861116,0.78,0,14,14
1669,03-05-2011,2,0,2,0,2,1,2,0.56,0.5303,0.961238204,0.78,0,5,5
1670,03-05-2011,2,0,3,0,2,1,1,0.54,0.5152,0.986305477,0.83,0,2,2
1671,03-05-2011,2,0,4,0,2,1,1,0.52,0.5,0.99004406,0.88,3,1,4
1672,03-05-2011,2,0,5,0,2,1,1,0.52,0.5,1.010418566,0.88,0,14,14
1673,03-05-2011,2,0,7,0,2,1,2,0.54,0.5152,0.978496953,0.88,17,248,265
1674,03-05-2011,2,0,8,0,2,1,2,0.56,0.5303,0.965174073,0.83,24,435,459
1675,03-05-2011,2,0,9,0,2,1,2,0.6,0.5758,0.928070531,0.78,29,157,186
1676,03-05-2011,2,0,10,0,2,1,2,0.64,0.6061,1.014436248,0.69,36,91,127
1677,03-05-2011,2,0,11,0,2,1,2,0.66,0.6212,1.001175635,0.65,20,120,140
1678,03-05-2011,2,0,12,0,2,1,2,0.68,0.6364,0.95898085,0.61,48,169,217
1679,03-05-2011,2,0,14,0,2,1,2,0.7,0.6515,1.052590697,0.58,36,122,158
1680,03-05-2011,2,0,16,0,2,1,1,0.72,0.6667,1.027078995,0.54,46,225,271
1681,03-05-2011,2,0,17,0,2,1,1,0.7,0.6515,1.020415192,0.54,53,464,517
1682,03-05-2011,2,0,18,0,2,1,1,0.7,0.6515,0.967159436,0.48,59,485,544
1683,03-05-2011,2,0,19,0,2,1,1,0.68,0.6364,1.008288084,0.57,42,323,365
1684,03-05-2011,2,0,20,0,2,1,1,0.66,0.6212,1.015523405,0.61,28,262,290
1685,03-05-2011,2,0,22,0,2,1,2,0.58,0.5455,1.066610811,0.6,14,99,113
1686,04-05-2011,2,0,1,0,3,1,3,0.5,0.4848,1.131299763,0.82,1,6,7
1687,04-05-2011,2,0,6,0,3,1,3,0.34,0.303,1.053857342,0.93,0,21,21
1688,04-05-2011,2,0,8,0,3,1,3,0.34,0.303,1.083203378,0.93,5,74,79
1689,04-05-2011,2,0,10,0,3,1,2,0.34,0.3182,1.081946625,0.93,5,26,31
1690,04-05-2011,2,0,11,0,3,1,1,0.4,0.4091,1.055957711,0.82,3,69,72
1691,04-05-2011,2,0,12,0,3,1,2,0.44,0.4394,1.073615078,0.62,19,105,124
1692,04-05-2011,2,0,13,0,3,1,2,0.46,0.4545,1.058171615,0.59,15,128,143
1693,04-05-2011,2,0,14,0,3,1,1,0.5,0.4848,1.049501395,0.51,13,94,107
1694,04-05-2011,2,0,15,0,3,1,1,0.48,0.4697,1.048553503,0.51,22,107,129
1695,04-05-2011,2,0,17,0,3,1,1,0.4,0.4091,1.127889583,0.71,22,388,410
1696,04-05-2011,2,0,18,0,3,1,1,0.42,0.4242,1.122689434,0.67,29,367,396
1697,04-05-2011,2,0,19,0,3,1,1,0.42,0.4242,0.997210977,0.58,30,266,296
1698,04-05-2011,2,0,20,0,3,1,1,0.4,0.4091,0.998889153,0.62,17,174,191
1699,04-05-2011,2,0,21,0,3,1,1,0.4,0.4091,0.986876272,0.62,17,133,150
1700,04-05-2011,2,0,22,0,3,1,1,0.38,0.3939,1.004334372,0.62,9,80,89
1701,04-05-2011,2,0,23,0,3,1,1,0.36,0.3485,0.988799582,0.62,8,49,57
1702,05-05-2011,2,0,1,0,4,1,1,0.34,0.3333,0.973209495,0.71,4,6,10
1703,05-05-2011,2,0,2,0,4,1,1,0.34,0.3182,0.934973887,0.66,1,4,5
1704,05-05-2011,2,0,4,0,4,1,1,0.34,0.3182,0.906421592,0.66,4,3,7
1705,05-05-2011,2,0,5,0,4,1,1,0.34,0.3182,0.910634393,0.66,1,29,30
1706,05-05-2011,2,0,8,0,4,1,1,0.42,0.4242,0.907963326,0.5,25,415,440
1707,05-05-2011,2,0,10,0,4,1,1,0.5,0.4848,0.887869248,0.39,30,98,128
1708,05-05-2011,2,0,14,0,4,1,1,0.54,0.5152,0.907230246,0.28,19,135,154
1709,05-05-2011,2,0,15,0,4,1,1,0.56,0.5303,0.914875651,0.26,27,120,147
1710,05-05-2011,2,0,16,0,4,1,1,0.58,0.5455,0.998273931,0.24,36,233,269
1711,05-05-2011,2,0,17,0,4,1,1,0.56,0.5303,1.000400904,0.26,66,467,533
1712,05-05-2011,2,0,18,0,4,1,1,0.56,0.5303,0.97628938,0.26,64,456,520
1713,05-05-2011,2,0,19,0,4,1,1,0.54,0.5152,0.957066194,0.28,56,305,361
1714,05-05-2011,2,0,20,0,4,1,1,0.5,0.4848,0.946064702,0.34,33,225,258
1715,05-05-2011,2,0,22,0,4,1,1,0.48,0.4697,0.932003013,0.39,30,135,165
1716,05-05-2011,2,0,23,0,4,1,1,0.46,0.4545,0.931008536,0.41,16,99,115
1717,06-05-2011,2,0,0,0,5,1,1,0.44,0.4394,0.920294607,0.44,13,43,56
1718,06-05-2011,2,0,1,0,5,1,1,0.4,0.4091,0.947400816,0.62,8,24,32
1719,06-05-2011,2,0,4,0,5,1,1,0.36,0.3636,0.957476213,0.71,0,1,1
1720,06-05-2011,2,0,5,0,5,1,1,0.34,0.3485,0.96385858,0.81,0,16,16
1721,06-05-2011,2,0,6,0,5,1,1,0.36,0.3636,0.921729629,0.81,8,74,82
1722,06-05-2011,2,0,8,0,5,1,1,0.42,0.4242,0.91498518,0.77,35,415,450
1723,06-05-2011,2,0,12,0,5,1,1,0.56,0.5303,0.97136519,0.49,48,198,246
1724,06-05-2011,2,0,16,0,5,1,1,0.6,0.6212,0.99656476,0.4,82,262,344
1725,06-05-2011,2,0,17,0,5,1,1,0.58,0.5455,0.990173399,0.4,83,470,553
1726,06-05-2011,2,0,18,0,5,1,3,0.54,0.5152,0.951533721,0.52,85,385,470
1727,06-05-2011,2,0,19,0,5,1,3,0.54,0.5152,0.894799169,0.52,39,253,292
1728,06-05-2011,2,0,20,0,5,1,1,0.52,0.5,0.952389016,0.48,29,161,190
1729,06-05-2011,2,0,21,0,5,1,1,0.48,0.4697,0.938189364,0.67,22,130,152
1730,06-05-2011,2,0,22,0,5,1,1,0.46,0.4545,0.819467347,0.72,46,105,151
1731,06-05-2011,2,0,23,0,5,1,1,0.44,0.4394,0.858861068,0.82,27,93,120
1732,07-05-2011,2,0,0,0,6,0,1,0.42,0.4242,0.851492467,0.82,10,76,86
1733,07-05-2011,2,0,7,0,6,0,1,0.48,0.4697,0.856494169,0.59,8,32,40
1734,07-05-2011,2,0,8,0,6,0,1,0.52,0.5,0.850934051,0.52,19,96,115
1735,07-05-2011,2,0,9,0,6,0,1,0.54,0.5152,0.915836871,0.49,54,164,218
1736,07-05-2011,2,0,10,0,6,0,1,0.56,0.5303,0.93441037,0.49,90,208,298
1737,07-05-2011,2,0,11,0,6,0,1,0.56,0.5303,0.946499032,0.43,132,215,347
1738,07-05-2011,2,0,12,0,6,0,1,0.6,0.6212,0.939410731,0.4,129,244,373
1739,07-05-2011,2,0,13,0,6,0,1,0.6,0.6212,0.954408289,0.35,196,240,436
1740,07-05-2011,2,0,14,0,6,0,3,0.6,0.6212,0.961488277,0.35,143,235,378
1741,07-05-2011,2,0,15,0,6,0,1,0.6,0.6212,0.992805991,0.38,148,230,378
1742,07-05-2011,2,0,16,0,6,0,1,0.6,0.6212,1.027626531,0.38,119,223,342
1743,07-05-2011,2,0,17,0,6,0,1,0.58,0.5455,1.072254627,0.4,138,216,354
1744,07-05-2011,2,0,19,0,6,0,1,0.56,0.5303,1.128657366,0.43,88,179,267
1745,07-05-2011,2,0,20,0,6,0,1,0.56,0.5303,1.152961658,0.43,82,137,219
1746,07-05-2011,2,0,21,0,6,0,1,0.54,0.5152,1.05300846,0.49,58,124,182
